Slug,Name,Version,"Previous Version","Download Link",Released,"WordPress.org URL","Required WP","Required PHP","Active Installs"
random-post-on-refresh,"Random Post on Refresh",1.2.1,1.2,https://downloads.wordpress.org/plugin/random-post-on-refresh.1.2.1.zip,"2024-12-01 19:35:00",https://wordpress.org/plugins/random-post-on-refresh/,4.5,5.4
simple-bmi-form,"Simple BMI Form",1.0.14,1.0.13,https://downloads.wordpress.org/plugin/simple-bmi-form.1.0.14.zip,"2024-12-01 20:27:00",https://wordpress.org/plugins/simple-bmi-form/,6.0,7.4
simple-website-redirect,"Simple Website Redirect",1.3.1,1.2.9,https://downloads.wordpress.org/plugin/simple-website-redirect.1.3.1.zip,"2024-12-01 21:31:00",https://wordpress.org/plugins/simple-website-redirect/,4.7,7.4
smtp2go,"SMTP2GO for WordPress – Email Made Easy",1.11.1,1.10.0,https://downloads.wordpress.org/plugin/smtp2go.1.11.1.zip,"2024-12-01 21:50:00",https://wordpress.org/plugins/smtp2go/,5.8,7.4
verse-of-the-day-widget-for-wp,"Verse of the Day Widget for WP",7.3.22,7.3.19,https://downloads.wordpress.org/plugin/verse-of-the-day-widget-for-wp.zip,"2024-12-01 20:08:00",https://wordpress.org/plugins/verse-of-the-day-widget-for-wp/,6.6,
wapuugotchi,WapuuGotchi,1.1.2,1.1.0,https://downloads.wordpress.org/plugin/wapuugotchi.1.1.2.zip,"2024-12-01 21:53:00",https://wordpress.org/plugins/wapuugotchi/,6.2,8.0
wp-coupons-and-deals,"WP Coupons and Deals – WordPress Coupon Plugin",3.2.2,3.2.1,https://downloads.wordpress.org/plugin/wp-coupons-and-deals.3.2.2.zip,"2024-12-01 22:07:00",https://wordpress.org/plugins/wp-coupons-and-deals/,5.2,7.3
wp-cron-status-checker,"WP-Cron Status Checker",1.2.6,1.2.5,https://downloads.wordpress.org/plugin/wp-cron-status-checker.1.2.6.zip,"2024-12-01 21:06:00",https://wordpress.org/plugins/wp-cron-status-checker/,4.0,5.6
wp-settings,"WP Settings:WordPress Settings and Database Backup",2.1,2.0,https://downloads.wordpress.org/plugin/wp-settings.zip,"2024-12-01 19:40:00",https://wordpress.org/plugins/wp-settings/,,5.2.4
wpbits-addons-for-elementor,"WPBITS Addons For Elementor Page Builder",1.6,1.5.1,https://downloads.wordpress.org/plugin/wpbits-addons-for-elementor.1.6.zip,"2024-12-01 21:04:00",https://wordpress.org/plugins/wpbits-addons-for-elementor/,5.6,5.4
visual-builder,"Visual Builder",1.0,,https://downloads.wordpress.org/plugin/visual-builder.zip,"2024-12-01 20:09:00",https://wordpress.org/plugins/visual-builder/,,7.4.0
wpsso-commerce-manager-catalog-feed,"WPSSO Commerce Manager Catalog Feed XML",4.10.0,4.9.0,https://downloads.wordpress.org/plugin/wpsso-commerce-manager-catalog-feed.4.10.0.zip,"2024-12-01 22:32:00",https://wordpress.org/plugins/wpsso-commerce-manager-catalog-feed/,5.9,7.4.33
wpsso-google-merchant-feed,"WPSSO Google Merchant Feed XML",9.10.0,9.9.0,https://downloads.wordpress.org/plugin/wpsso-google-merchant-feed.9.10.0.zip,"2024-12-01 22:32:00",https://wordpress.org/plugins/wpsso-google-merchant-feed/,5.9,7.4.33
ai-alt-text-generator,"AI Alt Text Generator",2.0.5,2.0.4,https://downloads.wordpress.org/plugin/ai-alt-text-generator.2.0.5.zip,"2024-12-02 05:14:00",https://wordpress.org/plugins/ai-alt-text-generator/,4.6,7.0
aweber-wp,"AWeber Forms by Optin Cat",2.5.9,2.5.6,https://downloads.wordpress.org/plugin/aweber-wp.zip,"2024-12-02 02:54:00",https://wordpress.org/plugins/aweber-wp/,3.9.1,
blocks-to-shortcode,"Blocks to ShortCode",0.02,0.01,https://downloads.wordpress.org/plugin/blocks-to-shortcode.0.02.zip,"2024-12-02 03:32:00",https://wordpress.org/plugins/blocks-to-shortcode/,6.2,7.2
campaign-monitor-wp,"Campaign Monitor Forms by Optin Cat",2.5.9,2.5.6,https://downloads.wordpress.org/plugin/campaign-monitor-wp.zip,"2024-12-02 02:54:00",https://wordpress.org/plugins/campaign-monitor-wp/,3.9.1,
cashfree,"Cashfree for WooCommerce",4.7.6,4.7.2,https://downloads.wordpress.org/plugin/cashfree.4.7.6.zip,"2024-12-02 03:48:00",https://wordpress.org/plugins/cashfree/,4.4,5.6
chinads-dropshipping-taobao-woocommerce,"ChinaDS – Tmall-Taobao Dropshipping for WooCommerce",2.0.7,2.0.6,https://downloads.wordpress.org/plugin/chinads-dropshipping-taobao-woocommerce.zip,"2024-12-02 03:28:00",https://wordpress.org/plugins/chinads-dropshipping-taobao-woocommerce/,5.0,7.0
classic-addons-wpbakery-page-builder-addons,"Classic Addons – WPBakery Page Builder",3.1,3.0,https://downloads.wordpress.org/plugin/classic-addons-wpbakery-page-builder-addons.3.1.zip,"2024-12-02 04:37:00",https://wordpress.org/plugins/classic-addons-wpbakery-page-builder-addons/,3.5,
easy-elementor-addons,"Easy Elementor Addons",2.0.6,2.0.1,https://downloads.wordpress.org/plugin/easy-elementor-addons.2.0.6.zip,"2024-12-02 04:24:00",https://wordpress.org/plugins/easy-elementor-addons/,5.0,5.4
getresponse,"GetResponse Forms by Optin Cat",2.5.9,,https://downloads.wordpress.org/plugin/getresponse.zip,"2024-12-02 02:55:00",https://wordpress.org/plugins/getresponse/,3.9.1,
gift-voucher,"Gift Cards (Gift Vouchers and Packages) (WooCommerce Supported)",4.4.8,4.4.4,https://downloads.wordpress.org/plugin/gift-voucher.4.4.8.zip,"2024-12-02 03:11:00",https://wordpress.org/plugins/gift-voucher/,4.0,5.6
last-modified-timestamp,"Last Modified Timestamp",1.0.6,1.0.5,https://downloads.wordpress.org/plugin/last-modified-timestamp.1.0.6.zip,"2024-12-02 04:36:00",https://wordpress.org/plugins/last-modified-timestamp/,4.6,5.3
listdom,"Listdom – Business Directory and Classified Ads Listings WordPress Plugin",3.7.1,3.4.0,https://downloads.wordpress.org/plugin/listdom.3.7.1.zip,"2024-12-02 03:10:00",https://wordpress.org/plugins/listdom/,4.0.0,7.0
listdomer-core,"Listdomer Core – Core of Listdomer Theme",2.6.1,2.6.0,https://downloads.wordpress.org/plugin/listdomer-core.2.6.1.zip,"2024-12-02 03:59:00",https://wordpress.org/plugins/listdomer-core/,4.0.0,7.0
mailchimp-wp,"Forms for Mailchimp by Optin Cat – Grow Your MailChimp List",2.5.9,,https://downloads.wordpress.org/plugin/mailchimp-wp.zip,"2024-12-02 02:56:00",https://wordpress.org/plugins/mailchimp-wp/,3.9.1,
pixelavo,"Pixelavo – Facebook Pixel Conversion API / Server Side Tracking",1.2.2,1.1.8,https://downloads.wordpress.org/plugin/pixelavo.1.2.2.zip,"2024-12-02 05:12:00",https://wordpress.org/plugins/pixelavo/,5.0,
popup-made-simple,"Popup made simple",1.2.0,1.0.0,https://downloads.wordpress.org/plugin/popup-made-simple.zip,"2024-12-02 04:11:00",https://wordpress.org/plugins/popup-made-simple/,6.7,8.3
primary-addon-for-elementor,"Primary Addon for Elementor",1.6.4,1.5.9,https://downloads.wordpress.org/plugin/primary-addon-for-elementor.1.6.4.zip,"2024-12-02 05:14:00",https://wordpress.org/plugins/primary-addon-for-elementor/,6.0,7.4
rabbit-loader,"RabbitLoader – Website Speed Optimization for improving Core Web Vital metrics with Cache, Image Optimization, and more",2.22.0,2.21.1,https://downloads.wordpress.org/plugin/rabbit-loader.2.22.0.zip,"2024-12-02 05:28:00",https://wordpress.org/plugins/rabbit-loader/,4.7,5.6
settimize,"AllinOne WordPress SEO Settings By SettiMize",1.2.1,1.0.0,https://downloads.wordpress.org/plugin/settimize.1.2.1.zip,"2024-12-02 04:27:00",https://wordpress.org/plugins/settimize/,6.0,7.4
swipe-slider,"Swipe Slider – Make dynamic slider with solid, gradient, or image background",0.12,0.11,https://downloads.wordpress.org/plugin/swipe-slider.0.12.zip,"2024-12-02 02:38:00",https://wordpress.org/plugins/swipe-slider/,6.5,7.2
vk-blocks,"VK Blocks",1.92.1.1,1.90.1.1,https://downloads.wordpress.org/plugin/vk-blocks.1.92.1.1.zip,"2024-12-02 03:29:00",https://wordpress.org/plugins/vk-blocks/,6.3,7.4
woo-alidropship,"ALD – Dropshipping and Fulfillment for AliExpress and WooCommerce",2.1.3,2.1.2,https://downloads.wordpress.org/plugin/woo-alidropship.zip,"2024-12-02 02:37:00",https://wordpress.org/plugins/woo-alidropship/,5.0.0,7.0
magnify-suggestive-search,"Magnify – Suggestive Search Plugin",1.0.6,,https://downloads.wordpress.org/plugin/magnify-suggestive-search.1.0.6.zip,"2024-12-02 05:03:00",https://wordpress.org/plugins/magnify-suggestive-search/,5.2,7.4
quick-insights,Quick-Insight,1.0.0,,https://downloads.wordpress.org/plugin/quick-insights.1.0.0.zip,"2024-12-02 05:12:00",https://wordpress.org/plugins/quick-insights/,5.0,7.2
rabbit-loader,"RabbitLoader – Website Speed Optimization for improving Core Web Vital metrics with Cache, Image Optimization, and more",2.22.1,2.22.0,https://downloads.wordpress.org/plugin/rabbit-loader.2.22.1.zip,"2024-12-02 05:46:00",https://wordpress.org/plugins/rabbit-loader/,4.7,5.6
adscout,"AdScout Integration",2.3.1,2.3,https://downloads.wordpress.org/plugin/adscout.2.3.1.zip,"2024-12-02 12:50:00",https://wordpress.org/plugins/adscout/,4.7,7.4
allow-wp-admin-access,"Allow wp-admin access",1.0.3,1.0.2,https://downloads.wordpress.org/plugin/allow-wp-admin-access.1.0.3.zip,"2024-12-02 11:01:00",https://wordpress.org/plugins/allow-wp-admin-access/,4.0.0,
ar-for-woocommerce,"AR for WooCommerce",7.2,7.1,https://downloads.wordpress.org/plugin/ar-for-woocommerce.zip,"2024-12-02 10:19:00",https://wordpress.org/plugins/ar-for-woocommerce/,4.2,
astra-sites,"Starter Templates — Elementor, WordPress & Beaver Builder Templates",4.4.9,4.4.8,https://downloads.wordpress.org/plugin/astra-sites.4.4.9.zip,"2024-12-02 12:13:00",https://wordpress.org/plugins/astra-sites/,6.6,7.4
button-generation,"Button Generator – easily Button Builder",3.1,3.0.2,https://downloads.wordpress.org/plugin/button-generation.3.1.zip,"2024-12-02 11:08:00",https://wordpress.org/plugins/button-generation/,5.5,7.4
colissimo-delivery-integration,"Colissimo Delivery Integration",3.8.3,3.8.2,https://downloads.wordpress.org/plugin/colissimo-delivery-integration.zip,"2024-12-02 12:05:00",https://wordpress.org/plugins/colissimo-delivery-integration/,6.2,7.3
compare-plugins-with-latest-version,"Compare Plugins With Latest Version",1.0.4,1.0.3,https://downloads.wordpress.org/plugin/compare-plugins-with-latest-version.1.0.4.zip,"2024-12-02 11:24:00",https://wordpress.org/plugins/compare-plugins-with-latest-version/,6.0,
cost-calculator-builder,"Cost Calculator Builder",3.2.46,3.2.42,https://downloads.wordpress.org/plugin/cost-calculator-builder.3.2.46.zip,"2024-12-02 12:41:00",https://wordpress.org/plugins/cost-calculator-builder/,4.6,5.6
device-based-redirect,"Device-Based Redirect",1.1.3,1.1.2,https://downloads.wordpress.org/plugin/device-based-redirect.1.1.3.zip,"2024-12-02 10:29:00",https://wordpress.org/plugins/device-based-redirect/,5.0,7.2
disable-comments-rb,"Disable Comments",1.0.24,1.0.23,https://downloads.wordpress.org/plugin/disable-comments-rb.1.0.24.zip,"2024-12-02 12:50:00",https://wordpress.org/plugins/disable-comments-rb/,3.1,
disco,"Disco – Dynamic Discount Plugin for WooCommerce",1.2.1,1.1.10,https://downloads.wordpress.org/plugin/disco.1.2.1.zip,"2024-12-02 12:43:00",https://wordpress.org/plugins/disco/,4.4,5.6
dokan-lite,"Dokan – Powerful WooCommerce Multivendor Marketplace Solution – Build Your Own Amazon, eBay, Etsy",3.14.0,3.12.6,https://downloads.wordpress.org/plugin/dokan-lite.3.14.0.zip,"2024-12-02 12:25:00",https://wordpress.org/plugins/dokan-lite/,6.5,7.4
doofinder-for-woocommerce,"DOOFINDER Search and Discovery for WP & WooCommerce",2.5.17,2.5.15,https://downloads.wordpress.org/plugin/doofinder-for-woocommerce.2.5.17.zip,"2024-12-02 12:35:00",https://wordpress.org/plugins/doofinder-for-woocommerce/,5.6,7.0
export-all-post-meta,"Export All Post Meta",1.2.1,1.2.0,https://downloads.wordpress.org/plugin/export-all-post-meta.1.2.1.zip,"2024-12-02 10:52:00",https://wordpress.org/plugins/export-all-post-meta/,4.5,
fapi-member,"FAPI Member",2.2.9,2.2.4,https://downloads.wordpress.org/plugin/fapi-member.2.2.9.zip,"2024-12-02 12:07:00",https://wordpress.org/plugins/fapi-member/,5.9,8.1
file-manager,"Bit File Manager – 100% Free & Open Source File Manager and Code Editor for WordPress",6.6.1,6.5.6,https://downloads.wordpress.org/plugin/file-manager.6.6.1.zip,"2024-12-02 11:09:00",https://wordpress.org/plugins/file-manager/,5.0,7.4
