Version,"Download Link","Release Date",Locale,"Required PHP Version","Required MySQL Version"
6.0.9,https://downloads.wordpress.org/release/wordpress-6.0.9.zip,"2024-06-24 17:28:50",en_US,5.6.20,5.0
6.1.7,https://downloads.wordpress.org/release/wordpress-6.1.7.zip,"2024-06-24 17:27:07",en_US,5.6.20,5.0
6.2.6,https://downloads.wordpress.org/release/wordpress-6.2.6.zip,"2024-06-24 17:25:04",en_US,5.6.20,5.0
6.3.5,https://downloads.wordpress.org/release/wordpress-6.3.5.zip,"2024-06-24 17:22:14",en_US,7.0.0,5.0
6.4.5,https://downloads.wordpress.org/release/wordpress-6.4.5.zip,"2024-06-24 17:20:32",en_US,7.0.0,5.0
6.5.5,https://downloads.wordpress.org/release/wordpress-6.5.5.zip,"2024-06-24 17:17:42",en_US,7.0.0,5.5.5
6.6.2,https://downloads.wordpress.org/release/wordpress-6.6.2.zip,"2024-09-10 15:24:09",en_US,7.2.24,5.5.5
6.6.1,https://downloads.wordpress.org/release/wordpress-6.6.1.zip,"2024-07-23 15:16:04",en_US,7.2.24,5.5.5
6.7,https://downloads.wordpress.org/release/wordpress-6.7.zip,"2024-11-12 20:43:55",en_US,7.2.24,5.5.5
6.7.1,https://downloads.wordpress.org/release/wordpress-6.7.1.zip,"2024-11-21 14:08:00",en_US,7.2.24,5.5.5
6.7.2,https://downloads.wordpress.org/release/wordpress-6.7.2.zip,"2025-02-11 16:16:23",en_US,7.2.24,5.5.5
6.8,https://downloads.wordpress.org/release/wordpress-6.8.zip,"2025-04-15 15:44:38",en_US,7.2.24,5.5.5
6.8.1,https://downloads.wordpress.org/release/wordpress-6.8.1.zip,"2025-04-30 16:48:18",en_US,7.2.24,5.5.5
4.1.42,https://downloads.w.org/release/wordpress-4.1.42.zip,"2025-07-15 13:28:41",en_US,5.2.4,5.0
4.2.39,https://downloads.w.org/release/wordpress-4.2.39.zip,"2025-07-15 13:34:49",en_US,5.2.4,5.0
4.4.34,https://downloads.w.org/release/wordpress-4.4.34.zip,"2025-07-15 13:45:46",en_US,5.2.4,5.0
4.5.33,https://downloads.w.org/release/wordpress-4.5.33.zip,"2025-07-15 13:51:07",en_US,5.2.4,5.0
6.8.2,https://downloads.wordpress.org/release/wordpress-6.8.2.zip,"2025-07-15 15:17:20",en_US,7.2.24,5.5.5
4.6.30,https://downloads.w.org/release/wordpress-4.6.30.zip,"2025-07-17 09:36:44",en_US,5.2.4,5.0
4.7.30,https://downloads.w.org/release/wordpress-4.7.30.zip,"2025-08-05 18:31:37",en_US,5.2.4,5.0
4.8.26,https://downloads.w.org/release/wordpress-4.8.26.zip,"2025-08-05 18:27:08",en_US,5.2.4,5.0
4.9.27,https://downloads.w.org/release/wordpress-4.9.27.zip,"2025-08-05 18:23:27",en_US,5.2.4,5.0
5.0.23,https://downloads.w.org/release/wordpress-5.0.23.zip,"2025-08-05 18:18:32",en_US,5.2.4,5.0
5.1.20,https://downloads.w.org/release/wordpress-5.1.20.zip,"2025-08-05 18:14:17",en_US,5.2.4,5.0
5.2.22,https://downloads.w.org/release/wordpress-5.2.22.zip,"2025-08-05 18:10:49",en_US,5.6.20,5.0
5.3.19,https://downloads.w.org/release/wordpress-5.3.19.zip,"2025-08-05 18:06:42",en_US,5.6.20,5.0
5.4.17,https://downloads.w.org/release/wordpress-5.4.17.zip,"2025-08-05 18:03:12",en_US,5.6.20,5.0
5.5.16,https://downloads.w.org/release/wordpress-5.5.16.zip,"2025-08-05 18:00:02",en_US,5.6.20,5.0
5.6.15,https://downloads.w.org/release/wordpress-5.6.15.zip,"2025-08-05 17:57:06",en_US,5.6.20,5.0
5.7.13,https://downloads.w.org/release/wordpress-5.7.13.zip,"2025-08-05 17:54:14",en_US,5.6.20,5.0
5.8.11,https://downloads.w.org/release/wordpress-5.8.11.zip,"2025-08-05 17:51:57",en_US,5.6.20,5.0
5.9.11,https://downloads.w.org/release/wordpress-5.9.11.zip,"2025-08-05 17:49:09",en_US,5.6.20,5.0
6.0.10,https://downloads.w.org/release/wordpress-6.0.10.zip,"2025-08-05 17:47:12",en_US,5.6.20,5.0
6.1.8,https://downloads.w.org/release/wordpress-6.1.8.zip,"2025-08-05 17:45:23",en_US,5.6.20,5.0
6.2.7,https://downloads.w.org/release/wordpress-6.2.7.zip,"2025-08-05 17:43:18",en_US,5.6.20,5.0
6.3.6,https://downloads.w.org/release/wordpress-6.3.6.zip,"2025-08-05 17:40:34",en_US,7.0.0,5.0
6.4.6,https://downloads.w.org/release/wordpress-6.4.6.zip,"2025-08-05 17:38:49",en_US,7.0.0,5.0
6.5.6,https://downloads.w.org/release/wordpress-6.5.6.zip,"2025-08-05 17:37:08",en_US,7.0.0,5.5.5
6.6.3,https://downloads.w.org/release/wordpress-6.6.3.zip,"2025-08-05 17:35:20",en_US,7.2.24,5.5.5
6.7.3,https://downloads.w.org/release/wordpress-6.7.3.zip,"2025-08-05 17:33:52",en_US,7.2.24,5.5.5
